tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
0;0.0;0.0;0.00;0
1;0.0;0.0;1.50;0
3;0.0;0.0;1.50;0
4;0.0;0.0;1.50;0
5;-0.1;0.1;1.50;0
6;-0.3;0.1;1.50;0
7;-0.1;0.2;1.50;0
9;0.3;0.5;1.50;0
10;0.4;0.7;1.50;0
11;0.6;0.8;1.50;0
12;1.0;0.9;1.50;0
13;1.3;1.0;1.50;0
15;1.4;1.3;1.50;0
16;1.9;1.4;1.50;0
17;1.4;1.5;1.50;0
18;2.1;1.7;1.50;0
19;2.0;1.8;1.50;0
21;2.1;1.9;1.50;0
22;2.1;2.0;1.50;0
23;2.3;1.9;1.50;0
24;2.5;2.2;1.50;0
25;2.4;2.3;1.50;0
27;3.2;2.5;1.50;0
28;3.0;2.4;1.50;0
29;3.6;2.7;1.50;0
30;3.2;2.6;1.50;0
31;3.6;2.7;1.50;0
33;3.4;2.9;1.50;0
34;3.6;2.9;1.50;0
35;3.5;3.1;1.50;0
36;3.3;3.0;1.50;0
37;4.0;3.2;1.50;0
39;3.8;3.4;1.50;0
40;3.9;3.3;1.50;0
41;3.8;3.4;1.50;0
42;4.4;3.4;1.50;0
43;3.9;3.6;1.50;0
45;4.1;3.6;1.50;0
46;4.4;3.6;1.50;0
47;4.3;3.6;1.50;0
48;4.6;3.7;1.50;0
49;5.0;3.7;1.50;0
51;4.8;3.9;1.50;0
52;4.5;4.0;1.50;0
53;4.8;4.0;1.50;0
54;4.6;4.0;1.50;0
55;4.8;4.0;1.50;0
57;4.7;4.2;1.50;0
58;5.3;4.2;1.50;0
59;4.8;4.2;1.50;0
60;4.7;4.3;1.50;0
61;5.1;4.2;1.50;0
63;5.0;4.3;1.50;0
64;5.1;4.3;1.50;0
65;5.3;4.5;1.50;0
66;5.2;4.5;1.50;0
67;5.3;4.6;1.50;0
69;5.3;4.5;1.50;0
70;5.3;4.6;1.50;0
71;5.2;4.7;1.50;0
73;5.5;4.7;1.50;0
74;5.6;4.7;1.50;0
75;5.4;4.7;1.50;0
76;5.4;4.8;1.50;0
77;5.6;4.8;1.50;0
78;5.7;4.8;1.50;0
79;5.7;4.9;1.50;0
81;5.6;5.0;1.50;0
82;6.0;5.0;1.50;0
83;5.8;5.0;1.50;0
84;5.8;5.0;1.50;0
85;5.9;5.0;1.50;0
87;6.1;5.1;1.50;0
88;5.5;5.0;1.50;0
89;6.1;5.1;1.50;0
90;5.7;5.2;1.50;0
91;5.9;5.2;1.50;0
93;5.9;5.1;1.50;0
94;6.1;5.3;1.50;0
95;6.2;5.2;1.50;0
96;5.9;5.3;1.50;0
97;5.9;5.2;1.50;0
99;5.9;5.4;1.50;0
100;5.9;5.4;1.50;0
101;6.2;5.5;1.50;0
102;5.6;5.4;1.50;0
103;6.1;5.4;1.50;0
105;5.8;5.5;1.50;0
106;6.1;5.6;1.50;0
107;5.3;5.4;1.50;0
108;6.3;5.5;1.50;0
109;5.6;5.6;1.50;0
111;6.0;5.6;1.50;0
112;5.7;5.7;1.50;0
113;5.9;5.7;1.50;0
114;6.9;5.8;1.50;0
115;6.4;5.6;1.50;0
117;6.0;5.7;1.50;0
118;5.9;5.8;1.50;0
119;6.0;5.6;1.50;0
120;6.5;5.8;1.50;0
121;6.6;5.9;1.50;0
123;6.1;5.8;1.50;0
124;5.8;5.9;1.50;0
125;5.9;5.9;1.50;0
126;6.1;5.9;1.50;0
127;5.9;6.0;1.50;0
129;6.4;6.0;1.50;0
130;6.1;5.9;1.50;0
131;6.3;5.9;1.50;0
132;5.8;5.8;1.50;0
133;5.9;5.8;1.50;0
