tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
1,00;0,00;0;0;0;;
2,00;0,000;0;0;0;;
3,00;0,00;0;0;0;;
4,00;0,00;0;0;0;;
5,00;0,00;0,1;1,99;0;;
6,00;0,00;0,1;1,99;0;;
7,00;-0,10;0,8;1,99;0;;
8,00;-0,20;0,8;1,99;0;;
9,00;0,10;0,8;1,99;0;;
10,00;0,20;1;1,99;0;;
11,00;0,50;1,3;1,99;0;;
13,00;1,10;1,7;1,99;0;;
14,00;1,20;1,8;1,99;0;;
15,00;1,60;1,9;1,99;0;;
16,00;1,80;2,1;1,99;0;;
17,00;2,20;2,3;1,99;0;;
18,00;2,10;2,6;1,99;0;;
19,00;2,70;3;1,99;0;;
20,00;2,70;3;1,99;0;;
21,00;3,00;3,2;1,99;0;;
22,00;3,20;3,5;1,99;0;;
23,00;3,20;3,5;1,99;0;;
25,00;3,60;3,9;1,99;0;;
26,00;4,40;4,1;1,99;0;;
27,00;3,70;4,4;1,99;0;;
28,00;4,00;4,2;1,99;0;;
29,00;4,00;4,4;1,99;0;;
30,00;4,40;4,5;1,99;0;;
31,00;4,50;4,7;1,99;0;;
32,00;4,60;5;1,99;0;;
33,00;4,70;5,2;1,99;0;;
34,00;4,90;5;1,99;0;;
35,00;5,30;5,6;1,99;0;;
36,00;5,10;5,5;1,99;0;;
37,00;5,00;5,7;1,99;0;;
38,00;4,70;5,8;1,99;0;;
39,00;5,60;5,8;1,99;0;;
40,00;5,10;5,9;1,99;0;;
41,00;5,40;6,2;1,99;0;;
43,00;5,60;6,2;1,99;0;;
44,00;5,60;6,2;1,99;0;;
45,00;5,70;6,4;1,99;0;;
46,00;5,90;6,5;1,99;0;;
47,00;5,70;6,6;1,99;0;;
48,00;5,90;6,7;1,99;0;;
49,00;6,00;6,8;1,99;0;;
50,00;6,30;7,1;1,99;0;;
51,00;6,00;7;1,99;0;;
52,00;6,10;7;1,99;0;;
53,00;6,20;7,4;1,99;0;;
55,00;6,20;7,4;1,99;0;;
56,00;6,40;7,8;1,99;0;;
57,00;6,30;7,8;1,99;0;;
58,00;6,40;7,8;1,99;0;;
59,00;6,80;7,8;1,99;0;;
61,00;6,30;8;1,99;0;;
62,00;6,70;8;1,99;0;;
63,00;6,80;8,1;1,99;0;;
64,00;6,80;7,9;1,99;0;;
65,00;6,90;8,3;1,99;0;;
66,00;7,00;8,4;1,99;0;;
67,00;7,10;8,2;1,99;0;;
68,00;7,10;8,5;1,99;0;;
69,00;7,40;8,7;1,99;0;;
70,00;7,10;8,6;1,99;0;;
71,00;7,00;8,8;1,99;0;;
72,00;7,10;8,9;1,99;0;;
73,00;7,30;8,7;1,99;0;;
74,00;7,60;8,7;1,99;0;;
75,00;7,50;9;1,99;0;;
76,00;7,50;8,8;0;0;;
77,00;7,70;8,9;1,99;0;;
79,00;7,50;9,1;1,99;0;;
80,00;7,60;9,4;1,99;0;;
81,00;7,70;9,2;1,99;0;;
82,00;7,50;9,3;1,99;0;;
83,00;7,30;9,3;1,99;0;;
85,00;7,80;9,6;1,99;0;;
86,00;8,00;9,6;1,99;0;;
87,00;7,80;9,5;1,99;0;;
88,00;8,00;9,5;1,99;0;;
89,00;7,80;9,4;1,99;0;;
90,00;8,10;9,4;1,99;0;;
91,00;7,90;9,6;1,99;0;;
92,00;7,90;9,7;1,99;0;;
93,00;8,10;9,5;1,99;0;;
94,00;7,90;9,7;1,99;0;;
