tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro;;
1;0;0;0;0;;
2;0;0;0;0;;
3;0;0;0;0;;
4;0;0;0;0;;
5;0;0.1;1.99;0;;
6;0;0.1;1.99;0;;
7;-0.1;0.8;1.99;0;;
8;-0.2;0.8;1.99;0;;
9;0.1;0.8;1.99;0;;
10;0.2;1;1.99;0;;
11;0.5;1.3;1.99;0;;
13;1.1;1.7;1.99;0;;
14;1.2;1.8;1.99;0;;
15;1.6;1.9;1.99;0;;
16;1.8;2.1;1.99;0;;
17;2.2;2.3;1.99;0;;
18;2.1;2.6;1.99;0;;
19;2.7;3;1.99;0;;
20;2.7;3;1.99;0;;
21;3;3.2;1.99;0;;
22;3.2;3.5;1.99;0;;
23;3.2;3.5;1.99;0;;
25;3.6;3.9;1.99;0;;
26;4.4;4.1;1.99;0;;
27;3.7;4.4;1.99;0;;
28;4;4.2;1.99;0;;
29;4;4.4;1.99;0;;
30;4.4;4.5;1.99;0;;
31;4.5;4.7;1.99;0;;
32;4.6;5;1.99;0;;
33;4.7;5.2;1.99;0;;
34;4.9;5;1.99;0;;
35;5.3;5.6;1.99;0;;
36;5.1;5.5;1.99;0;;
37;5;5.7;1.99;0;;
38;4.7;5.8;1.99;0;;
39;5.6;5.8;1.99;0;;
40;5.1;5.9;1.99;0;;
41;5.4;6.2;1.99;0;;
43;5.6;6.2;1.99;0;;
44;5.6;6.2;1.99;0;;
45;5.7;6.4;1.99;0;;
46;5.9;6.5;1.99;0;;
47;5.7;6.6;1.99;0;;
48;5.9;6.7;1.99;0;;
49;6;6.8;1.99;0;;
50;6.3;7.1;1.99;0;;
51;6;7;1.99;0;;
52;6.1;7;1.99;0;;
53;6.2;7.4;1.99;0;;
55;6.2;7.4;1.99;0;;
56;6.4;7.8;1.99;0;;
57;6.3;7.8;1.99;0;;
58;6.4;7.8;1.99;0;;
59;6.8;7.8;1.99;0;;
61;6.3;8;1.99;0;;
62;6.7;8;1.99;0;;
63;6.8;8.1;1.99;0;;
64;6.8;7.9;1.99;0;;
65;6.9;8.3;1.99;0;;
