tempoExperimento,alturaTanque1,alturaTanque2,tensaoBomba,erro
0,0.0,0.0,0.00,0
1,0.0,0.0,0.00,0
2,0.0,0.0,0.00,0
3,0.0,0.0,0.00,0
4,0.0,0.0,0.00,0
5,0.0,0.0,0.00,0
6,0.0,0.0,1.50,0
7,0.0,0.0,1.50,0
8,0.0,0.0,1.50,0
9,0.0,0.0,1.50,0
11,-0.1,0.2,1.50,0
12,-0.2,0.2,1.50,0
13,0.0,0.5,1.50,0
14,0.0,0.5,1.50,0
15,0.4,0.7,1.50,0
17,1.0,1.1,1.50,0
18,1.1,1.1,1.50,0
19,1.1,1.2,1.50,0
20,1.8,1.3,1.50,0
21,1.4,1.5,1.50,0
23,1.7,1.7,1.50,0
24,1.9,1.9,1.50,0
25,2.5,2.0,1.50,0
26,1.9,1.9,1.50,0
27,2.6,2.3,1.50,0
29,2.6,2.4,1.50,0
30,2.5,2.3,1.50,0
31,2.2,2.5,1.50,0
32,3.0,2.6,1.50,0
33,2.9,2.7,1.50,0
35,3.1,2.9,1.50,0
36,3.1,3.0,1.50,0
37,3.3,2.9,1.50,0
38,3.0,2.8,1.50,0
39,3.1,3.1,1.50,0
41,3.6,3.3,1.50,0
42,3.7,3.4,1.50,0
43,3.7,3.3,1.50,0
44,3.8,3.5,1.50,0
45,3.9,3.6,1.50,0
47,4.0,3.8,1.50,0
48,3.6,3.6,1.50,0
49,3.9,3.7,1.50,0
50,3.9,3.8,1.50,0
51,4.2,3.9,1.50,0
53,4.2,4.1,1.50,0
54,4.4,4.0,1.50,0
55,4.1,4.1,1.50,0
56,4.3,4.1,1.50,0
57,4.4,4.3,1.50,0
59,4.5,4.3,1.50,0
60,4.5,4.4,1.50,0
61,4.5,4.4,1.50,0
62,4.5,4.4,1.50,0
63,4.5,4.5,1.50,0
65,4.6,4.5,1.50,0
66,4.5,4.6,1.50,0
67,4.6,4.6,1.50,0
68,4.7,4.7,1.50,0
69,4.9,4.7,1.50,0
71,4.8,4.8,1.50,0
72,4.7,4.9,1.50,0
73,5.0,5.0,1.50,0
74,5.0,4.8,1.50,0
75,4.9,5.0,1.50,0
77,5.1,4.9,1.50,0
78,4.3,5.1,1.50,0
79,5.2,5.0,1.50,0
80,5.2,5.3,1.50,0
81,5.0,5.2,1.50,0
83,5.3,5.2,1.50,0
84,5.2,5.2,1.50,0
85,5.1,5.3,1.50,0
86,4.9,5.4,1.50,0
87,5.3,5.3,1.50,0
89,5.2,5.5,1.50,0
90,5.3,5.6,1.50,0
91,5.3,5.5,1.50,0
92,5.2,5.6,1.50,0
93,5.6,5.6,1.50,0
95,5.3,5.5,1.50,0
96,5.7,5.8,1.50,0
97,5.4,5.5,1.50,0
98,5.6,5.7,1.50,0
99,5.7,5.8,1.50,0
100,5.1,5.8,1.50,0
