tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
1;-0.3;3.8;0.00;0
2;0.0;3.5;0.00;0
4;0.0;3.0;0.00;0
5;-0.1;2.2;1.50;0
6;-0.1;2.3;1.50;0
7;-0.2;2.2;1.50;0
8;0.0;2.3;1.50;0
9;0.2;2.5;1.50;0
10;0.9;2.5;1.50;0
11;1.1;2.8;1.50;0
12;1.7;2.8;1.50;0
13;1.8;3.1;1.50;0
14;1.9;3.0;1.50;0
15;2.3;3.1;1.50;0
16;2.6;3.3;1.50;0
17;2.7;3.4;1.50;0
18;3.0;3.5;1.50;0
19;3.1;3.5;1.50;0
20;3.4;3.7;1.50;0
22;3.9;3.8;1.50;0
23;3.7;3.9;1.50;0
24;4.3;4.0;1.50;0
25;4.3;4.0;1.50;0
26;4.3;4.2;1.50;0
28;4.5;4.3;1.50;0
29;4.2;4.5;1.50;0
30;5.2;4.5;1.50;0
31;5.0;4.7;1.50;0
32;4.8;4.7;1.50;0
33;5.3;4.7;1.50;0
34;5.3;4.7;1.50;0
35;5.3;4.8;1.50;0
36;5.4;4.9;1.50;0
37;5.4;4.8;1.50;0
38;5.5;5.1;1.50;0
39;6.0;5.1;1.50;0
40;6.2;5.3;1.50;0
41;5.8;5.3;1.50;0
42;6.1;5.2;1.50;0
43;5.9;5.3;1.50;0
44;5.8;5.3;1.50;0
45;6.2;5.3;1.50;0
46;6.4;5.5;1.50;0
47;6.1;5.4;1.50;0
48;6.0;5.6;1.50;0
49;6.3;5.4;1.50;0
50;6.1;5.7;1.50;0
51;6.5;5.8;1.50;0
52;6.2;5.9;1.50;0
53;6.5;5.7;1.50;0
54;6.7;5.8;1.50;0
55;6.5;6.0;1.50;0
56;6.6;5.9;1.50;0
57;6.6;6.1;1.50;0
58;6.6;6.1;1.50;0
59;7.5;6.0;1.50;0
60;6.9;6.0;1.50;0
61;6.7;6.1;1.50;0
62;6.6;5.9;1.50;0
63;6.7;6.0;1.50;0
64;7.2;6.1;1.50;0
65;6.9;6.3;1.50;0
66;6.9;6.1;1.50;0
67;6.9;6.4;1.50;0
69;7.0;6.5;1.50;0
70;6.7;6.4;1.50;0
71;7.0;6.4;1.50;0
72;6.8;6.3;1.50;0
73;7.5;6.6;1.50;0
74;7.1;6.6;1.50;0
75;6.9;6.4;1.50;0
76;7.1;6.3;1.50;0
77;7.0;6.6;1.50;0
78;7.1;6.6;1.50;0
79;7.1;6.6;1.50;0
80;7.5;6.6;1.50;0
82;7.9;6.6;1.50;0
83;6.9;6.8;1.50;0
84;7.2;6.6;1.50;0
85;7.4;6.7;1.50;0
86;7.1;6.7;1.50;0
87;7.2;6.8;1.50;0
88;7.4;6.7;1.50;0
89;7.3;6.9;1.50;0
90;6.5;6.7;1.50;0
91;7.2;6.8;1.50;0
92;7.1;7.0;1.50;0
94;7.1;6.8;0.00;0
97;7.8;6.7;1.50;0
