tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
0;15.5;15.4;0.00;0
1;0.0;0.0;0.00;0
3;0.0;0.0;0.00;0
4;0.0;0.0;1.50;0
5;0.0;0.0;1.50;0
6;0.0;0.0;1.50;0
7;-0.2;0.1;1.50;0
9;0.0;0.3;1.50;0
10;0.2;0.4;1.50;0
11;0.4;0.6;1.50;0
13;0.7;0.9;1.50;0
15;1.3;1.1;1.50;0
16;1.5;1.3;1.50;0
17;2.4;1.3;1.50;0
18;1.9;1.4;1.50;0
19;2.1;1.5;1.50;0
20;2.4;1.7;1.50;0
21;2.4;1.9;1.50;0
22;2.6;1.9;1.50;0
23;3.1;2.0;1.50;0
24;3.0;2.1;1.50;0
25;3.3;2.2;1.50;0
26;3.0;2.4;1.50;0
27;3.2;2.5;1.50;0
28;3.7;2.5;1.50;0
29;3.5;2.7;1.50;0
30;3.7;2.9;1.50;0
31;4.1;2.9;1.50;0
32;3.5;2.8;1.50;0
33;3.8;3.1;1.50;0
34;4.1;3.1;1.50;0
35;3.7;3.1;1.50;0
37;4.4;3.4;1.50;0
38;4.3;3.4;1.50;0
39;4.5;3.5;1.50;0
40;4.4;3.7;1.50;0
41;4.2;3.6;1.50;0
42;5.0;3.5;1.50;0
43;5.7;3.6;1.50;0
44;4.7;3.8;1.50;0
45;4.8;4.0;1.50;0
46;5.2;4.1;1.50;0
47;5.0;4.1;1.50;0
48;4.8;4.1;1.50;0
49;4.5;4.3;1.50;0
50;5.1;4.2;1.50;0
51;5.5;4.4;1.50;0
52;5.3;4.4;1.50;0
53;5.0;4.2;1.50;0
54;5.1;4.4;1.50;0
55;5.3;4.5;1.50;0
57;5.9;4.7;1.50;0
58;5.5;4.7;1.50;0
59;5.5;4.6;1.50;0
61;5.5;5.0;1.50;0
63;5.5;4.8;1.50;0
64;5.7;4.8;1.50;0
65;5.3;4.8;1.50;0
66;5.8;5.0;1.50;0
67;6.0;5.0;1.50;0
68;5.5;5.2;1.50;0
69;5.8;5.2;1.50;0
70;6.1;5.1;1.50;0
71;6.1;5.1;1.50;0
72;5.9;5.3;1.50;0
73;5.7;5.3;1.50;0
74;6.1;5.3;1.50;0
75;5.8;5.3;1.50;0
76;5.9;5.3;1.50;0
77;5.7;5.6;1.50;0
78;5.8;5.4;1.50;0
79;5.9;5.3;1.50;0
80;6.0;5.3;1.50;0
81;6.1;5.5;1.50;0
82;5.9;5.4;1.50;0
83;6.1;5.6;1.50;0
84;5.9;5.6;1.50;0
85;6.1;5.7;1.50;0
86;6.2;5.6;1.50;0
87;6.4;5.8;1.50;0
88;6.7;5.8;1.50;0
89;6.2;5.7;1.50;0
90;6.0;5.9;1.50;0
91;6.1;5.8;1.50;0
93;6.1;5.7;1.50;0
94;6.0;5.8;1.50;0
95;6.1;5.9;1.50;0
96;6.6;5.8;1.50;0
97;6.4;6.0;1.50;0
99;6.3;5.9;1.50;0
100;6.3;6.2;1.50;0
101;6.3;5.9;1.50;0
102;6.5;6.0;1.50;0
