tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
0;0.0;0.1;0.00;0
1;0.0;0.0;0.00;0
2;0.0;0.0;0.00;0
4;0.0;0.0;0.00;0
5;0.0;0.0;0.00;0
6;0.0;0.0;0.00;0
7;0.0;0.0;0.00;0
8;0.0;0.0;0.00;0
10;0.0;0.0;1.50;0
11;0.0;0.0;1.50;0
12;-0.2;0.3;1.50;0
13;-0.1;0.2;1.50;0
14;0.0;0.4;1.50;0
16;0.6;0.6;1.50;0
17;0.6;0.7;1.50;0
18;1.0;0.9;1.50;0
19;1.1;1.1;1.50;0
20;1.6;1.0;1.50;0
22;1.7;1.5;1.50;0
23;1.9;1.5;1.50;0
24;1.9;1.6;1.50;0
25;2.7;1.8;1.50;0
26;2.5;1.8;1.50;0
28;3.3;2.1;1.50;0
29;2.8;2.3;1.50;0
30;3.1;2.2;1.50;0
31;3.3;2.5;1.50;0
32;3.2;2.5;1.50;0
34;3.6;2.7;1.50;0
35;3.7;2.8;1.50;0
36;3.2;3.0;1.50;0
37;3.6;3.1;1.50;0
38;4.0;3.2;1.50;0
40;4.5;3.2;1.50;0
41;3.7;3.4;1.50;0
42;4.4;3.2;1.50;0
43;4.3;3.5;1.50;0
44;4.4;3.5;1.50;0
46;4.6;3.7;1.50;0
47;5.0;3.7;1.50;0
48;5.0;3.8;1.50;0
49;4.7;3.9;1.50;0
50;4.7;4.1;1.50;0
52;4.9;4.2;1.50;0
53;5.0;4.0;1.50;0
54;4.9;4.1;1.50;0
55;5.3;4.4;1.50;0
56;4.7;4.4;1.50;0
58;5.4;4.5;1.50;0
59;5.4;4.4;1.50;0
60;5.3;4.5;1.50;0
61;4.8;4.6;1.50;0
62;5.2;4.6;1.50;0
64;5.6;4.9;1.50;0
65;5.8;4.6;1.50;0
66;5.5;4.7;1.50;0
67;5.5;4.9;1.50;0
68;5.8;4.9;1.50;0
69;5.8;4.8;1.50;0
70;5.6;4.9;1.50;0
71;5.6;4.9;1.50;0
72;5.7;5.1;1.50;0
73;5.8;5.0;1.50;0
74;5.5;5.1;1.50;0
76;5.8;5.2;1.50;0
77;5.8;5.2;1.50;0
78;5.8;5.2;1.50;0
79;5.7;5.3;1.50;0
80;6.1;5.3;1.50;0
82;5.9;5.3;1.50;0
83;6.1;5.4;1.50;0
84;5.8;5.6;1.50;0
85;6.1;5.5;1.50;0
86;6.2;5.7;1.50;0
88;6.0;5.5;1.50;0
89;5.9;5.6;1.50;0
90;6.2;5.6;1.50;0
91;5.9;5.6;1.50;0
92;5.8;5.6;1.50;0
94;6.4;5.7;1.50;0
95;6.0;5.7;1.50;0
96;5.9;5.8;1.50;0
97;6.0;5.7;1.50;0
98;6.1;5.7;1.50;0
100;6.1;5.9;1.50;0
101;6.1;5.6;1.50;0
102;6.3;5.8;1.50;0
103;6.3;6.2;1.50;0
104;6.2;5.9;1.50;0
106;6.0;5.9;1.50;0
107;6.3;5.9;1.50;0
108;6.9;6.0;1.50;0
109;6.6;6.0;1.50;0
110;6.2;6.1;1.50;0
112;6.2;6.1;1.50;0
113;6.4;6.1;1.50;0
114;6.4;6.1;1.50;0
115;6.5;6.1;2.50;0
116;6.1;6.5;2.50;0
118;7.1;6.4;2.50;0
119;7.6;6.6;2.50;0
120;7.6;6.8;2.50;0
121;7.6;7.1;2.50;0
122;7.7;7.1;2.50;0
124;8.0;7.4;2.50;0
125;8.5;7.5;2.50;0
126;8.5;7.5;2.50;0
127;8.8;7.8;2.50;0
128;8.8;7.9;2.50;0
130;9.2;8.0;2.50;0
132;9.3;8.4;2.50;0
133;9.7;8.5;2.50;0
134;9.4;8.5;2.50;0
136;9.9;8.8;2.50;0
137;9.6;8.7;2.50;0
