tempoExperimento;alturaTanque1;alturaTanque2;tensaoBomba;erro
1;0.0;0.0;0.00;0
2;0.0;0.0;1.50;0
3;0.0;0.0;1.50;0
4;-0.1;0.1;1.50;0
5;-0.2;0.1;1.50;0
7;0.0;0.4;1.50;0
8;0.2;0.5;1.50;0
9;0.4;0.6;1.50;0
10;0.8;0.7;1.50;0
11;0.9;0.7;1.50;0
13;1.5;1.0;1.50;0
14;1.4;1.4;1.50;0
15;2.0;1.2;1.50;0
16;2.4;1.4;1.50;0
17;2.3;1.5;1.50;0
19;2.1;1.8;1.50;0
20;2.7;1.9;1.50;0
21;3.0;2.0;1.50;0
22;2.6;2.2;1.50;0
23;3.0;2.3;1.50;0
25;3.6;2.5;1.50;0
26;3.1;2.6;1.50;0
27;3.8;2.6;1.50;0
28;3.5;2.8;1.50;0
29;3.6;3.0;1.50;0
31;4.1;2.8;1.50;0
32;4.0;3.2;1.50;0
33;3.9;3.3;1.50;0
34;4.2;3.3;1.50;0
35;3.6;3.2;1.50;0
37;4.3;3.5;1.50;0
38;4.3;3.5;1.50;0
40;4.6;3.7;1.50;0
41;4.9;3.7;1.50;0
43;5.0;3.8;1.50;0
44;4.8;4.0;1.50;0
45;4.4;4.1;1.50;0
46;5.1;4.3;1.50;0
48;5.0;4.2;1.50;0
49;4.9;4.2;1.50;0
50;5.0;4.2;1.50;0
51;4.9;4.5;1.50;0
52;6.6;4.5;1.50;0
53;5.2;4.5;1.50;0
55;4.6;4.6;1.50;0
56;5.2;4.5;1.50;0
57;5.6;4.7;1.50;0
58;5.3;4.7;1.50;0
59;5.5;4.9;1.50;0
61;5.6;5.0;1.50;0
62;5.5;4.9;1.50;0
63;5.6;5.1;1.50;0
64;5.7;5.0;1.50;0
65;5.7;5.2;1.50;0
67;5.7;5.1;1.50;0
68;5.9;5.3;1.50;0
69;5.7;5.2;1.50;0
71;5.8;5.3;1.50;0
73;5.9;5.3;1.50;0
74;6.3;5.4;1.50;0
75;6.0;5.5;1.50;0
76;6.4;5.5;1.50;0
77;5.8;5.5;1.50;0
79;6.1;5.4;1.50;0
80;6.4;5.6;1.50;0
81;6.0;5.8;1.50;0
82;5.9;5.8;1.50;0
83;6.1;5.8;1.50;0
85;6.0;5.7;1.50;0
86;6.1;5.9;1.50;0
87;6.0;5.8;1.50;0
88;6.5;6.0;1.50;0
89;6.3;5.9;1.50;0
91;5.8;5.9;1.50;0
92;6.7;5.9;1.50;0
94;6.4;6.0;1.50;0
95;6.6;6.0;1.50;0
97;6.5;5.9;1.50;0
98;6.3;6.2;1.50;0
99;6.5;6.1;1.50;0
100;6.5;6.0;1.50;0
101;6.3;6.1;1.50;0
103;6.4;6.2;1.50;0
104;6.4;6.1;1.50;0
105;6.5;6.2;1.50;0
106;6.7;6.2;1.50;0
107;6.7;6.2;1.50;0
109;6.3;6.3;1.50;0
110;6.6;6.2;1.50;0
111;6.3;6.2;1.50;0
112;6.5;6.3;1.50;0
113;7.3;6.4;1.50;0
115;6.5;6.3;1.50;0
116;6.6;6.4;1.50;0
117;6.5;6.4;1.50;0
118;6.4;6.3;1.50;0
119;6.9;6.3;1.50;0
121;6.5;6.3;1.50;0
122;6.8;6.4;1.50;0
123;6.8;6.4;1.50;0
124;6.6;6.5;1.50;0
125;6.2;6.4;1.50;0
127;6.8;6.6;1.50;0
128;6.8;6.6;1.50;0
129;6.7;6.3;1.50;0
130;6.7;6.4;1.50;0
131;6.8;6.5;1.50;0
133;6.8;6.5;1.50;0
134;6.9;6.5;1.50;0
135;6.6;6.5;1.50;0
